Label,# 样本,平均值,中位数,90% 百分位,95% 百分位,99% 百分位,最小值,最大值,异常 %,吞吐量,接收 KB/sec,发送 KB/sec
登陆-请求,200,315,217,482,541,3293,83,3335,0.00%,18.75821,6835.69,14.25
自定义页面列表,4050,215,171,238,394,1326,116,4691,0.00%,0.28943,2.42,0.24
页面模板页面所有接口,4050,78,61,100,140,467,35,4290,0.00%,0.28943,0.24,0.2
获取草稿箱所有数据id,4050,199,158,223,383,1160,105,1949,0.00%,0.28943,2.18,0.22
启动广告列表,4050,100,76,122,227,595,44,4576,0.00%,0.28943,1.07,0.22
添加启动广告,4050,94,75,126,203,506,40,965,0.00%,0.28943,0.12,0.35
启用广告,4050,98,75,126,209,562,42,4931,0.00%,0.28941,0.12,0.22
店铺风格,4050,96,72,128,261,557,40,1281,0.00%,0.28941,0.12,0.21
移动店铺-请求1,4050,201,160,226,404,1043,109,4685,0.00%,0.28941,2.42,0.24
移动店铺-请求2,4050,72,58,94,125,391,33,1091,0.00%,0.28943,0.74,0.2
页面管理列表,4050,273,220,319,517,1432,153,4780,0.00%,0.2894,3.16,0.44
移动装修,4050,1157,936,1272,2126,5898,656,6971,0.00%,0.28941,9.42,2.1
客流分析--请求1,4050,735,578,1013,2115,6155,184,8016,0.00%,0.28942,0.2,0.21
客流分析--请求2,4050,158,141,215,279,574,58,4692,0.00%,0.28943,0.19,0.22
客流分析,4050,894,711,1186,2635,6571,278,8536,0.00%,0.28941,0.39,0.43
访问路径--请求,8100,390,219,776,976,3400,45,9615,0.00%,0.57882,0.7,0.42
访问路径,4050,682,537,975,2659,3828,159,9615,0.00%,0.28942,0.2,0.21
属性比例--请求,4050,125,108,172,218,355,59,4642,0.00%,0.28949,0.13,0.21
会员增长趋势--请求,4050,87,75,119,151,294,46,4311,0.00%,0.28949,0.15,0.21
支付趋势--请求,4050,104,87,142,185,316,50,4521,0.00%,0.28949,0.11,0.21
身份属性,4050,317,279,436,509,730,182,4907,0.00%,0.28948,0.39,0.62
会员消费,4050,97,84,129,160,310,45,4745,0.00%,0.28949,0.5,0.22
商品总况--请求,4050,123,110,162,211,339,66,1533,0.00%,0.28949,0.15,0.2
热销TOP5商品榜单--请求,4050,298963,300006,300034,300058,302412,202774,304640,97.95%,0.28343,0.06,0.2
商品详情 --请求,3975,120,106,159,196,339,53,4797,0.00%,0.28924,0.23,0.22
商品交易,3975,299187,300231,300350,300446,302805,202995,304953,97.91%,0.28423,0.44,0.61
订单交易--请求,3975,6813,7436,9494,11892,23803,801,26328,0.00%,0.28922,0.33,0.21
订单交易,3975,6813,7436,9494,11892,23803,801,26328,0.00%,0.28922,0.33,0.21
商品-分类列表,3975,93,75,126,168,316,40,4716,0.00%,0.28941,8.88,0.2
